2020-05-24 14:09:28: == 同步开始由 User Command
2020-05-24 14:09:29: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/linux/compat/include/linux/rculist.h' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/linux/compat/include/linux/rculist.h' (704)
2020-05-24 14:09:29: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/linux/compat/include/linux/rcupdate.h' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/linux/compat/include/linux/rcupdate.h' (826)
2020-05-24 14:09:29: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/linux/compat/include/linux/reciprocal_div.h' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/linux/compat/include/linux/reciprocal_div.h' (1,121)
2020-05-24 14:09:29: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/linux/compat/include/linux/rtnetlink.h' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/linux/compat/include/linux/rtnetlink.h' (1,121)
2020-05-24 14:09:29: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/linux/compat/include/linux/sctp.h' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/linux/compat/include/linux/sctp.h' (301)
2020-05-24 14:09:29: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/linux/compat/include/linux/skbuff.h' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/linux/compat/include/linux/skbuff.h' (9,757)
2020-05-24 14:09:29: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/linux/compat/include/linux/stddef.h' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/linux/compat/include/linux/stddef.h' (362)
2020-05-24 14:09:29: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/linux/compat/include/linux/tcp.h' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/linux/compat/include/linux/tcp.h' (398)
2020-05-24 14:09:29: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/linux/compat/include/linux/types.h' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/linux/compat/include/linux/types.h' (275)
2020-05-24 14:09:29: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/linux/compat/include/linux/u64_stats_sync.h' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/linux/compat/include/linux/u64_stats_sync.h' (4,705)
2020-05-24 14:09:29: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/linux/compat/include/linux/udp.h' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/linux/compat/include/linux/udp.h' (395)
2020-05-24 14:09:29: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/linux/compat/include/linux/workqueue.h' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/linux/compat/include/linux/workqueue.h' (219)
2020-05-24 14:09:29: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/linux/compat/include/net/checksum.h' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/linux/compat/include/net/checksum.h' (1,265)
2020-05-24 14:09:29: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/linux/compat/include/net/dst.h' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/linux/compat/include/net/dst.h' (2,608)
2020-05-24 14:09:29: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/linux/compat/include/net/dst_metadata.h' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/linux/compat/include/net/dst_metadata.h' (1,057)
2020-05-24 14:09:29: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/linux/compat/include/net/flow_keys.h' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/linux/compat/include/net/flow_keys.h' (387)
